"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
"","Thu, 3 Apr 2025 17:57:25 -0400",@babel/traverse:7.14.2,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/themes/twentytwentyone/package-lock.json?@babel/traverse,"","","","",pkg:npm/%40babel%2Ftraverse@7.14.2,"",GHSA-67hx-6x53-jw92,"CWE-697 Incorrect Comparison, CWE-184 Incomplete List of Disallowed Inputs","### Impact  Using Babel to compile code that was specifically crafted by an attacker can lead to arbitrary code execution during compilation, when using plugins that rely on the `path.evaluate()`or `path.evaluateTruthy()` internal Babel methods.  Known affected plugins are: - `@babel/plugin-transform-runtime` - `@babel/preset-env` when using its [`useBuiltIns`](https://babeljs.io/docs/babel-preset-env#usebuiltins) option - Any ""polyfill provider"" plugin that depends on `@babel/helper-define-polyfill-provider`, such as `babel-plugin-polyfill-corejs3`, `babel-plugin-polyfill-corejs2`, `babel-plugin-polyfill-es-shims`, `babel-plugin-polyfill-regenerator`  No other plugins under the `@babel/` namespace are impacted, but third-party plugins might be.  **Users that only compile trusted code are not impacted.**  ### Patches  The vulnerability has been fixed in `@babel/traverse@7.23.2`.  Babel 6 does not receive security fixes anymore (see [Babel's security policy](https://github.com/babel/babel/security/policy)), hence there is no patch planned for `babel-traverse@6`.  ### Workarounds  - Upgrade `@babel/traverse` to v7.23.2 or higher. You can do this by deleting it from your package manager's lockfile and re-installing the dependencies. `@babel/core` >=7.23.2 will automatically pull in a non-vulnerable version. - If you cannot upgrade `@babel/traverse` and are using one of the affected packages mentioned above, upgrade them to their latest version to avoid triggering the vulnerable code path in affected `@babel/traverse` versions:   - `@babel/plugin-transform-runtime` v7.23.2   - `@babel/preset-env` v7.23.2   - `@babel/helper-define-polyfill-provider` v0.4.3   - `babel-plugin-polyfill-corejs2` v0.4.6   - `babel-plugin-polyfill-corejs3` v0.8.5   - `babel-plugin-polyfill-es-shims` v0.10.0   - `babel-plugin-polyfill-regenerator` v0.5.3",NPM,"","","",CRITICAL,9.399999618530273,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",@babel/traverse:7.20.1,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/plugins/really-simple-ssl-6.0.9/settings/package-lock.json?@babel/traverse,"","","","",pkg:npm/%40babel%2Ftraverse@7.20.1,"",GHSA-67hx-6x53-jw92,"CWE-697 Incorrect Comparison, CWE-184 Incomplete List of Disallowed Inputs","### Impact  Using Babel to compile code that was specifically crafted by an attacker can lead to arbitrary code execution during compilation, when using plugins that rely on the `path.evaluate()`or `path.evaluateTruthy()` internal Babel methods.  Known affected plugins are: - `@babel/plugin-transform-runtime` - `@babel/preset-env` when using its [`useBuiltIns`](https://babeljs.io/docs/babel-preset-env#usebuiltins) option - Any ""polyfill provider"" plugin that depends on `@babel/helper-define-polyfill-provider`, such as `babel-plugin-polyfill-corejs3`, `babel-plugin-polyfill-corejs2`, `babel-plugin-polyfill-es-shims`, `babel-plugin-polyfill-regenerator`  No other plugins under the `@babel/` namespace are impacted, but third-party plugins might be.  **Users that only compile trusted code are not impacted.**  ### Patches  The vulnerability has been fixed in `@babel/traverse@7.23.2`.  Babel 6 does not receive security fixes anymore (see [Babel's security policy](https://github.com/babel/babel/security/policy)), hence there is no patch planned for `babel-traverse@6`.  ### Workarounds  - Upgrade `@babel/traverse` to v7.23.2 or higher. You can do this by deleting it from your package manager's lockfile and re-installing the dependencies. `@babel/core` >=7.23.2 will automatically pull in a non-vulnerable version. - If you cannot upgrade `@babel/traverse` and are using one of the affected packages mentioned above, upgrade them to their latest version to avoid triggering the vulnerable code path in affected `@babel/traverse` versions:   - `@babel/plugin-transform-runtime` v7.23.2   - `@babel/preset-env` v7.23.2   - `@babel/helper-define-polyfill-provider` v0.4.3   - `babel-plugin-polyfill-corejs2` v0.4.6   - `babel-plugin-polyfill-corejs3` v0.8.5   - `babel-plugin-polyfill-es-shims` v0.10.0   - `babel-plugin-polyfill-regenerator` v0.5.3",NPM,"","","",CRITICAL,9.399999618530273,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",@sideway/formula:3.0.0,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/plugins/really-simple-ssl-6.0.9/settings/package-lock.json?@sideway/formula,"","","","",pkg:npm/%40sideway%2Fformula@3.0.0,"",GHSA-c2jc-4fpr-4vhg,CWE-1333 Inefficient Regular Expression Complexity,### Impact  User-provided strings to formula's parser might lead to polynomial execution time.  ### Patches  Users should upgrade to 3.0.1+.  ### Workarounds  None.,NPM,"","","",MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",ansi-regex:4.1.0,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/themes/twentynineteen/package-lock.json?ansi-regex,"","","","",pkg:npm/ansi-regex@4.1.0,"",CVE-2021-3807,CWE-1333 Inefficient Regular Expression Complexity,ansi-regex - Regular Expression Denial of Service (ReDoS) [CVE-2021-3807]  ansi-regex - Regular Expression Denial of Service (ReDoS) [CVE-2021-3807],OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",ansi-regex:4.1.0,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/themes/twentynineteen/package-lock.json?ansi-regex,"","","","",pkg:npm/ansi-regex@4.1.0,"",GHSA-93q8-gq69-wqmw,"CWE-697 Incorrect Comparison, CWE-1333 Inefficient Regular Expression Complexity","ansi-regex is vulnerable to Inefficient Regular Expression Complexity which could lead to a denial of service when parsing invalid ANSI escape codes.  **Proof of Concept** ```js import ansiRegex from 'ansi-regex'; for(var i = 1; i <= 50000; i++) {     var time = Date.now();     var attack_str = ""\u001B[""+"";"".repeat(i*10000);     ansiRegex().test(attack_str)     var time_cost = Date.now() - time;     console.log(""attack_str.length: "" + attack_str.length + "": "" + time_cost+"" ms"") } ``` The ReDOS is mainly due to the sub-patterns `[[\\]()#;?]*` and `(?:;[-a-zA-Z\\d\\/#&.:=?%@~_]*)*`",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",ansi-regex:5.0.0,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/themes/twentynineteen/package-lock.json?ansi-regex,"","","","",pkg:npm/ansi-regex@5.0.0,"",CVE-2021-3807,CWE-1333 Inefficient Regular Expression Complexity,ansi-regex - Regular Expression Denial of Service (ReDoS) [CVE-2021-3807]  ansi-regex - Regular Expression Denial of Service (ReDoS) [CVE-2021-3807],OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",ansi-regex:5.0.0,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/themes/twentynineteen/package-lock.json?ansi-regex,"","","","",pkg:npm/ansi-regex@5.0.0,"",GHSA-93q8-gq69-wqmw,"CWE-697 Incorrect Comparison, CWE-1333 Inefficient Regular Expression Complexity","ansi-regex is vulnerable to Inefficient Regular Expression Complexity which could lead to a denial of service when parsing invalid ANSI escape codes.  **Proof of Concept** ```js import ansiRegex from 'ansi-regex'; for(var i = 1; i <= 50000; i++) {     var time = Date.now();     var attack_str = ""\u001B[""+"";"".repeat(i*10000);     ansiRegex().test(attack_str)     var time_cost = Date.now() - time;     console.log(""attack_str.length: "" + attack_str.length + "": "" + time_cost+"" ms"") } ``` The ReDOS is mainly due to the sub-patterns `[[\\]()#;?]*` and `(?:;[-a-zA-Z\\d\\/#&.:=?%@~_]*)*`",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",api-php-lib:1.0.7,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/plugins/really-simple-ssl-6.0.9/lets-encrypt/composer.lock:plesk/api-php-lib/1.0.7,"","","","",pkg:composer/plesk/api-php-lib@1.0.7,cpe:2.3:a:php:php:1.0.7:*:*:*:*:*:*:*,CVE-2008-0599,CWE-131 Incorrect Calculation of Buffer Size,"The init_request_info function in sapi/cgi/cgi_main.c in PHP before 5.2.6 does not properly consider operator precedence when calculating the length of PATH_TRANSLATED, which might allow remote attackers to execute arbitrary code via a crafted URI.",NVD,HIGH,10.0,/AV:N/AC:L/Au:N/C:C/I:C/A:C,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,5,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",api-php-lib:1.0.7,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/plugins/really-simple-ssl-6.0.9/lets-encrypt/composer.lock:plesk/api-php-lib/1.0.7,"","","","",pkg:composer/plesk/api-php-lib@1.0.7,cpe:2.3:a:php:php:1.0.7:*:*:*:*:*:*:*,CVE-2011-1939,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),SQL injection vulnerability in Zend Framework 1.10.x before 1.10.9 and 1.11.x before 1.11.6 when using non-ASCII-compatible encodings in conjunction PDO_MySql in PHP before 5.3.6.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,5,"","","","","","","",""
"","Thu, 3 Apr 2025 17:57:25 -0400",api-php-lib:1.0.7,/Applications/XAMPP/xamppfiles/htdocs/scan/wordpress/wp-content/plugins/really-simple-ssl-6.0.9/lets-encrypt/composer.lock:plesk/api-php-lib/1.0.7,"","","","",pkg:composer/plesk/api-php-lib@1.0.7,cpe:2.3:a:php:php:1.0.7:*:*:*:*:*:*:*,CVE-2012-1823,CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),"sapi/cgi/cgi_main.c in PHP before 5.3.12 and 5.4.x before 5.4.2, when configured as a CGI script (aka php-cgi), does not properly handle query strings that lack an = (equals sign) character, which allows remote attackers to execute arbitrary code by placing command-line options in the query string, related to lack of skipping a certain php_getopt for the 'd' case.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,5,PHP,PHP,PHP-CGI Query String Parameter Vulnerability,2022-03-25,"sapi/cgi/cgi_main.c in PHP, when configured as a CGI script, does not properly handle query strings, which allows remote attackers to execute arbitrary code.",Apply updates per vendor instructions.,2022-04-15,https://nvd.nist.gov/vuln/detail/CVE-2012-1823
